Paragraphe 1;Paragraphe 2;Paragraphe 3;Paragraphe 4;Paragraphe 5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
La lecture de ton profil m’a donné envie d’en savoir plus sur toi, histoire d’en apprendre d’avantage. J’espère ne pas te déranger si tu es occupé.;Je trouve que ton profil correspond à ce qui me plait chez un homme. Je suis une femme plut mignonne, enfin du moins je le pense.;Je suis actuellement en colloc avec ma cousine, mais elle doit partir la semaine prochaine, donc si ça te dit j’ai un endroit pour te recevoir.;Très impatiente de pouvoir te rencontrer pour discuter avec toi.;Je serai sur le tchat ce soir je pense, tu sais où me trouver.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bon je veux pas que tu me prennes pour une chasseuse du fait que je te contacte comme ça. Je tiens avant toute chose à te préciser que ce n’est pas dans mes habitudes mais je dois t’avouer que ton profil m’intéresse, et c’est pour cette raison que j’ai décidé de te contacter.;Ton profil m’inspire confiance, et je te trouve très à mon gout. Pour ma part, je suis une femme très douce et pétillante, qui aime les hommes gentils.;Tu ne m’as même pas encore répondu mais si dans l’éventualité où nos premiers échanges sont encourageants, je tiens à te dire que je préfère recevoir chez moi que de devoir me déplacer.;J’espère que dans ta réponse, tu sauras me montrer que je peux t’intéresser.;Si tu veux me retrouver au plus vite, je pense me connecter au tchat dans peu de temps.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
J’ai hésité un long moment et puis je me suis dit que ce serait tout de même dommage de ne pas faire pour une fois le premier pas. J’aimerais en savoir un peu plus sur toi.;Je sais pas pourquoi mais tu as l’air d’être un mec sympa et plaisant. Pour ma part, j’aime plaisanter et passer de bons moments.;Je suis du même secteur que toi, je vis à proximité de chez toi mais pour une première rencontre j’aimerais que cela se fasse dans un endroit classique comme un des cafés du centre ville par exemple.;Je dois t’avouer que je suis impatiente de recevoir une réponse positive de ta part car je suis persuadée que l’on va bien s’entendre.;Si tu veux me retrouver sur le tchat, je t’y attendrai avec impatience.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tu dois te dire que je suis déterminée pour te contacter comme je le fais… Et bien si c’est le cas, tu n’as pas tout à fait tort, depuis que j’ai vu ton profil, ton visage est dans ma tête et je pense qu’il faudrait vraiment que l’on apprenne à se connaitre.;Hier encore, j’ai regardé ta fiche de profil et je me suis dis que tu correspond à ce que je cherche chez un homme. .;J’espère que ton retour sera positif, et si tel était le cas, je préfère de loin te rencontrer en terrasse d’un café par exemple, je trouve ça mieux que le virtuel pour faire connaissance.;e suis convaincue qu’un face à face avec toi est plus que prometteur si tu assures autant que tu as l’air sur ton profil.;Un gros bisou à toi, et à très bientôt je l’espère.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
J’ai hésité un moment avant de te contacter parce que je me suis dis que beau comme tu es, tu dois en recevoir des tas, mais sérieusement je pense pouvoir faire face à la concurrence.;Je pense avoir ce qu’il faut pour te faire craquer, je prends soin de moi et je pense être assez jolie.;J’habite à deux pas de l’église, et pour être honnête je n’ai rien de prévu encore qui m’empêcherait d’aller boire un bon verre avec toi histoire de voir si toi et moi… enfin voila quoi pas besoin de te faire un dessin.;Je pense que tu aurais tort de refuser cette proposition car sans prétention je pense être une femme bien.;Je te laisse en espérant de te retrouver très vite… Je t’embrasse tendrement.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C’est vrai que ce sont très souvent les hommes qui font le premier pas, mais j’ai vu ton profil et j’ai très envie d’apprendre à te connaitre, voila pourquoi je force un peu le destin.;Je ne sais pas ce qui te plait chez une femme, mais de mon coté je sais me donner les moyens de charmer celui qui me plait. J’aime me mettre en valeur et plaire à celui qui m’attire.;Comme tu peux le voir, j’ai très envie de te connaitre, alors bouges ton joli corps pour me répondre et que l’on ne tarde pas à faire plus ample connaissance.;Il me tarde vraiment te voir, je pense qu’il y a moyen que toi et moi passons du bon temps.;Si ça te dit ce soir on peut se faire une petite discussion sur le chat.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Désolé de te contacter comme je le fais alors que l’on ne se connait même pas mais quand je veux quelque chose je suis assez déterminée et je pense pouvoir te plaire.;Plus j’y pense et plus je me dis que te rencontrer serait une bonne chose, tu me plais physiquement et j’espère que je te plairais aussi.;Pour ce qui est de mes disponibilités, alors je suis assez prise par mon boulot, mais si tu sais me donner envie, je n’aurais aucun scrupule à me porter pale pour t’offrir un peu de mon temps.;Je ne sais pas encore ce que tu penses de tout ça mais moi de mon côté je suis très enthousiaste.;Si tu es impatient comme je le suis, je pense passer sur le tchat ce soir.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pas très courageuse d’habitude, bizarrement, l’envie de te connaitre m’a donné le courage nécessaire pour t’écrire ce message..;Malgré ma timidité, je sais faire ce qu’il faut pour plaire à ceux qui me plaisent, et mon calme apparent n’est là que pour masquer mon coté peu farouche.;J’habite à 200 mètres du centre, et je pense que ce serait l’idéal de pouvoir s’y retrouver pour papoter. Et on ne serait pas très loin de chez moi si jamais, le destin fait que l’on ait envie de prolonger tout ça au chaud.;Je suis étonnée du bon feeling que j’ai sur toi car ce n’est pas dans mes habitudes, et c’est rare que je me trompe.;Dans l’attente de ton message… Bis.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Coucou bel inconnu, dispo pour faire des rencontres? Ca te dirait de faire connaissance?;Moi je suis un petit bout de femme en manque d’affection, qui ne cherche que la complicité d’un beau mec respectueux.;Je viens d’arriver dans le secteur, et pour être honnête, je n’ai même pas encore pris le temps de visiter, peut-être que tu es un très bon guide!!;J’aime bien bavarder mais j’aimerais particulièrement le faire au plus vite avec toi pour voir si mes intuitions sont bonnes.;Je garde ma session ouverte, fais moi signe si tu veux me parler.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bonjour, j’espère na pas être trop franche, mais on est sur un site de rencontre, ton profil m’a vraiment plus… Alors voila pourquoi je suis ici en train de t’écrire.;Je me trouve plutôt mignonne, enfin on va dire que quand je regarde les autres je n’ai pas à me plaindre.. Je suis une femme très tactile et douce, et j’adore les mecs qui m’inspirent de la sécurité.;Mon activité professionnelle fait que j’ai la possibilité de bosser depuis chez moi donc n’hésites pas à me proposer une petite pause car cela me ferait le plus grand bien.;Je suis plus qu’impatiente de pouvoir faire ta connaissance.;Je regarde souvent ma boite de réception donc si tu me réponds je ne tarderai pas de le voir.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
